,datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,Profit,year,month_name,month,day_of_week,hour,is_rush_hour,is_school_day
0,2011-01-01 00:00:00,Spring,0.0,0.0,Clear,9.84,81.0,,3,13,16,107.32876712328768,2011,January,1,Saturday,0,0,0
1,2011-01-01 01:00:00,Spring,0.0,0.0,,9.02,80.0,0.0,8,32,40,275.02876712328765,2011,January,1,Saturday,1,0,0
2,2011-01-01 02:00:00,Spring,0.0,0.0,Clear,9.02,,0.0,5,27,32,201.92876712328766,2011,January,1,Saturday,2,0,0
3,2011-01-01 03:00:00,Spring,0.0,0.0,Clear,9.84,75.0,0.0,3,10,13,94.42876712328767,2011,January,1,Saturday,3,0,0
4,2011-01-01 04:00:00,,0.0,0.0,Clear,,75.0,,0,1,1,4.1287671232876715,2011,January,1,Saturday,4,0,0
5,2011-01-01 05:00:00,,0.0,,Mist,9.84,,6.0032,0,1,1,4.1287671232876715,2011,January,1,Saturday,5,0,0
6,2011-01-01 06:00:00,Spring,0.0,0.0,Clear,,,0.0,2,0,2,34.22876712328767,2011,January,1,Saturday,6,0,0
7,2011-01-01 07:00:00,Spring,0.0,0.0,Clear,8.2,,,1,2,3,25.628767123287673,2011,January,1,Saturday,7,1,0
8,2011-01-01 08:00:00,Spring,0.0,0.0,,9.84,,0.0,1,7,8,47.128767123287666,2011,January,1,Saturday,8,1,0
9,2011-01-01 09:00:00,Spring,0.0,0.0,Clear,,76.0,0.0,8,6,14,163.22876712328767,2011,January,1,Saturday,9,1,0
10,2011-01-01 10:00:00,Spring,0.0,0.0,Clear,15.58,76.0,,12,24,36,309.4287671232877,2011,January,1,Saturday,10,0,0
11,2011-01-01 11:00:00,Spring,,0.0,Clear,14.76,81.0,19.0012,26,30,56,576.0287671232877,2011,January,1,Saturday,11,0,0
12,2011-01-01 12:00:00,Spring,0.0,,Clear,,77.0,19.0012,29,55,84,735.1287671232876,2011,January,1,Saturday,12,0,0
13,2011-01-01 13:00:00,Spring,0.0,0.0,Mist,18.86,,,47,47,94,1010.3287671232877,2011,January,1,Saturday,13,0,0
14,2011-01-01 14:00:00,Spring,0.0,0.0,Mist,18.86,72.0,19.0012,35,71,106,907.1287671232876,2011,January,1,Saturday,14,0,0
15,2011-01-01 15:00:00,Spring,0.0,0.0,Mist,18.04,77.0,19.9995,40,70,110,988.8287671232877,2011,January,1,Saturday,15,1,0
16,2011-01-01 16:00:00,Spring,0.0,0.0,Mist,17.22,82.0,19.9995,41,52,93,928.6287671232876,2011,January,1,Saturday,16,1,0
17,2011-01-01 17:00:00,Spring,,,Mist,18.04,82.0,19.0012,15,52,67,481.4287671232877,2011,January,1,Saturday,17,1,0
18,2011-01-01 18:00:00,Spring,,0.0,Rainy,17.22,88.0,16.9979,9,26,35,266.4287671232877,2011,January,1,Saturday,18,0,0
19,2011-01-01 19:00:00,Spring,0.0,0.0,Rainy,17.22,,16.9979,6,31,37,236.32876712328766,2011,January,1,Saturday,19,0,0
20,2011-01-01 20:00:00,Spring,0.0,0.0,Mist,16.4,,16.9979,11,25,36,296.52876712328765,2011,January,1,Saturday,20,0,0
21,2011-01-01 21:00:00,Spring,0.0,0.0,Mist,,87.0,12.998,3,31,34,184.72876712328767,2011,January,1,Saturday,21,0,0
22,2011-01-01 22:00:00,Spring,0.0,0.0,Mist,16.4,,,11,17,28,262.1287671232877,2011,January,1,Saturday,22,0,0
23,2011-01-01 23:00:00,Spring,0.0,0.0,Mist,,,,15,24,39,361.02876712328765,2011,January,1,Saturday,23,0,0
24,2011-01-02 00:00:00,Spring,0.0,,Mist,18.86,88.0,19.9995,4,13,17,124.52876712328768,2011,January,1,Sunday,0,0,0
25,2011-01-02 01:00:00,Spring,0.0,0.0,Mist,18.04,,,1,16,17,85.82876712328768,2011,January,1,Sunday,1,0,0
26,2011-01-02 02:00:00,Spring,0.0,0.0,Mist,17.22,100.0,19.0012,1,8,9,51.42876712328767,2011,January,1,Sunday,2,0,0
27,2011-01-02 03:00:00,Spring,0.0,0.0,Mist,,,12.998,2,4,6,51.42876712328767,2011,January,1,Sunday,3,0,0
28,2011-01-02 04:00:00,Spring,0.0,,Mist,18.86,,12.998,2,1,3,38.52876712328767,2011,January,1,Sunday,4,0,0
29,2011-01-02 06:00:00,Spring,0.0,0.0,Rainy,,,19.9995,0,2,2,8.42876712328767,2011,January,1,Sunday,6,0,0
30,2011-01-02 07:00:00,Spring,0.0,0.0,,16.4,,12.998,0,1,1,4.1287671232876715,2011,January,1,Sunday,7,1,0
31,2011-01-02 08:00:00,Spring,0.0,0.0,Rainy,16.4,71.0,15.0013,0,8,8,34.22876712328767,2011,January,1,Sunday,8,1,0
32,2011-01-02 09:00:00,Spring,0.0,,Mist,15.58,76.0,,1,19,20,98.72876712328768,2011,January,1,Sunday,9,1,0
33,2011-01-02 10:00:00,Spring,0.0,,,14.76,81.0,15.0013,7,46,53,318.02876712328765,2011,January,1,Sunday,10,0,0
34,2011-01-02 11:00:00,Spring,0.0,0.0,,14.76,,16.9979,16,54,70,507.22876712328764,2011,January,1,Sunday,11,0,0
35,2011-01-02 12:00:00,Spring,0.0,0.0,Mist,14.76,66.0,,20,73,93,657.7287671232876,2011,January,1,Sunday,12,0,0
36,2011-01-02 13:00:00,Spring,0.0,0.0,Mist,14.76,,8.9981,11,64,75,464.22876712328764,2011,January,1,Sunday,13,0,0
37,2011-01-02 14:00:00,Spring,0.0,0.0,Rainy,14.76,76.0,,4,55,59,305.1287671232877,2011,January,1,Sunday,14,0,0
